label,actual_n,linear_only_svm,tree,xgboostrf
0,540.0,0.9481481481481482,0.737037037037037,0.8851851851851852
1,2577.0,0.9984478075281334,0.5060147458284827,1.0
3,2524.0,0.9972266244057052,0.9877179080824089,0.9984152139461173
4,2586.0,0.9980665119876256,0.9215003866976025,1.0
5,2487.0,0.9935665460394049,0.856453558504222,0.9983916365098512
6,2572.0,0.9988335925349923,1.0,1.0
7,2550.0,0.9968627450980392,0.827843137254902,0.9988235294117647
8,2523.0,0.9801823226317875,0.8331351565596512,1.0
9,2589.0,0.9996137504828119,0.857860177674778,1.0
10,2565.0,0.9980506822612085,0.991812865497076,1.0
11,2545.0,0.9984282907662082,0.862475442043222,0.999607072691552
12,2572.0,0.9972783825816485,0.6597978227060654,1.0
13,2519.0,0.9960301707026598,0.945216355696705,0.9988090512107979
14,2582.0,0.9988381099922541,0.0,1.0
15,2551.0,0.9988239905919247,0.8212465699725597,1.0
16,2490.0,0.9947791164658635,0.8337349397590361,0.9971887550200803
17,2565.0,0.9996101364522417,0.9980506822612085,1.0
18,2573.0,0.996113486202876,0.9945588806840264,1.0
